Name,Distance,Distance_err,RA,Dec,SpectralType,Mass,Notes,OtherNames,Constellation,Source
HIP70319,57.08,0.0,14.3876,1.241,G1V,,,,,Isaacson et al.
HIP70400,151.01,0.0,14.4031,5.820,A5V,,,,,Isaacson et al.
HIP70475,46.64,0.0,14.4156,8.887,M:,,,,,Isaacson et al.
HIP70497,47.29,0.0,14.4199,51.851,F7V,,,,,Isaacson et al.
HIP70529,54.47,0.0,14.4287,23.617,M1,,,,,Isaacson et al.
HIP70536,51.21,0.0,14.4296,23.620,M2,,,,,Isaacson et al.
HIP70857,63.60,0.0,14.4895,80.810,G5,,,,,Isaacson et al.
HIP70865,46.31,0.0,14.4916,15.533,M3,,,,,Isaacson et al.
GJ551,4.24,0.0,14.4953,-62.679,M5.0V,,,,,Isaacson et al.
HIP70950,71.43,0.0,14.5125,35.454,K3V,,,,,Isaacson et al.
HIP70952,103.39,0.0,14.5128,63.186,F4IV,,,,,Isaacson et al.
HIP70956,53.82,0.0,14.5132,-8.646,K7V,,,,,Isaacson et al.
HIP71075,85.13,0.0,14.5346,38.308,A7IIIva,,,,,Isaacson et al.
HIP71181,43.70,0.0,14.5580,52.909,K3V,,,,,Isaacson et al.
HIP71253,19.93,0.0,14.5713,-12.519,M4,,,,,Isaacson et al.
HIP71284,50.23,0.0,14.5780,29.745,F3Vwvar,,,,,Isaacson et al.
HIP71311,66.21,0.0,14.5827,33.747,K8,,,,,Isaacson et al.
HIP71395,53.82,0.0,14.6002,9.746,K0,,,,,Isaacson et al.
GJ559B,4.34,0.0,14.6598,-60.837,K0V,,,,,Isaacson et al.
HIP71743,76.65,0.0,14.6753,-16.209,G6V,,,,,Isaacson et al.
HIP71855,66.21,0.0,14.6979,-75.139,G5V,,,,,Isaacson et al.
HIP71908,53.49,0.0,14.7084,-64.975,F1Vp,,,,,Isaacson et al.
HIP71914,73.06,0.0,14.7094,19.480,M0,,,,,Isaacson et al.
HIP71957,60.67,0.0,14.7177,-5.658,F2III,,,,,Isaacson et al.
HIP72044,85.78,0.0,14.7367,22.185,M0,,,,,Isaacson et al.
HIP72146,63.60,0.0,14.7567,13.846,K0,,,,,Isaacson et al.
HIP72197,99.15,0.0,14.7667,-25.443,F0V+G,,,,,Isaacson et al.
HIP72220,128.51,0.0,14.7708,1.893,A0V,,,,,Isaacson et al.
HIP72237,57.08,0.0,14.7731,16.497,K5V,,,,,Isaacson et al.
HIP72312,63.93,0.0,14.7878,2.703,G8V,,,,,Isaacson et al.
HIP72493,77.95,0.0,14.8232,-67.236,K0V,,,,,Isaacson et al.
HIP72567,58.38,0.0,14.8377,23.912,G2V,,,,,Isaacson et al.
HIP72603,76.97,0.0,14.8448,-15.997,F3V,,,,,Isaacson et al.
HIP72607,126.22,0.0,14.8451,74.155,K4IIIva,,,,,Isaacson et al.
HIP72622,76.97,0.0,14.8480,-16.042,A3IV,,,,,Isaacson et al.
HIP72659,21.82,0.0,14.8565,19.100,G8V+K,,,,,Isaacson et al.
HIP72688,55.12,0.0,14.8613,-24.304,K3V,,,,,Isaacson et al.
HIP72848,37.51,0.0,14.8899,19.153,K2V,,,,,Isaacson et al.
HIP72875,74.69,0.0,14.8949,23.345,K3V,,,,,Isaacson et al.
HIP72944,32.00,0.0,14.9081,16.101,M2Ve,,,,,Isaacson et al.
HIP72944,32.00,0.0,14.9081,16.101,M2Ve,,,,,Isaacson et al.
HIP73005,77.95,0.0,14.9197,53.680,K1V,,,,,Isaacson et al.
HIP73100,80.89,0.0,14.9397,49.628,F7V,,,,,Isaacson et al.
HIP73165,91.00,0.0,14.9531,-4.346,F0V,,,,,Isaacson et al.
HIP73184,19.24,0.0,14.9578,-21.415,K4V,,,,,Isaacson et al.
HIP73457,63.60,0.0,15.0121,-11.135,K7V,,,,,Isaacson et al.
HIP73470,37.83,0.0,15.0154,45.426,M0,,,,,Isaacson et al.
HIP73631,80.89,0.0,15.0510,-46.294,K5V,,,,,Isaacson et al.
HIP73633,79.26,0.0,15.0517,-41.992,K3V,,,,,Isaacson et al.
HIP73695,41.42,0.0,15.0631,47.654,G2V+G,,,,,Isaacson et al.
HIP73850,103.72,0.0,15.0928,-30.551,F6V,,,,,Isaacson et al.
HIP73996,64.25,0.0,15.1217,24.869,F5V,,,,,Isaacson et al.
HIP74190,46.97,0.0,15.1599,3.167,M:,,,,,Isaacson et al.
HIP74273,78.60,0.0,15.1791,-61.422,G3IV,,,,,Isaacson et al.
HIP74395,116.11,0.0,15.2047,-52.099,G8III,,,,,Isaacson et al.
HIP74537,56.42,0.0,15.2308,-1.351,K0V,,,,,Isaacson et al.
HIP74666,116.44,0.0,15.2584,33.315,G8III,,,,,Isaacson et al.
HIP74689,161.45,0.0,15.2636,0.000,A4V,,,,,Isaacson et al.
HIP74702,50.55,0.0,15.2664,0.000,K0,,,,,Isaacson et al.
HIP74824,96.54,0.0,15.2919,-58.801,A3V,,,,,Isaacson et al.
HIP74926,85.45,0.0,15.3110,-18.626,---,,,,,Isaacson et al.
HIP74981,93.28,0.0,15.3226,29.206,K7,,,,,Isaacson et al.
HIP74995,20.42,0.0,15.3241,-7.722,M5,,,,,Isaacson et al.
HIP75101,120.35,0.0,15.3464,-2.413,K0V,,,,,Isaacson et al.
HIP75181,47.29,0.0,15.3634,-48.318,G2V,,,,,Isaacson et al.
HIP75201,61.32,0.0,15.3678,-4.777,K7V,,,,,Isaacson et al.
HIP75253,71.10,0.0,15.3769,10.661,K2V,,,,,Isaacson et al.
HIP75266,82.84,0.0,15.3785,1.419,K3V,,,,,Isaacson et al.
HIP75277,65.56,0.0,15.3797,18.919,K0,,,,,Isaacson et al.
HIP75312,60.67,0.0,15.3867,30.288,G2V,,,,,Isaacson et al.
HIP75458,102.09,0.0,15.4155,58.966,K2III,,,,,Isaacson et al.
HIP75542,79.58,0.0,15.4329,-26.706,K3/K4V,,,,,Isaacson et al.
HIP75718,64.58,0.0,15.4693,-9.348,K2V,,,,,Isaacson et al.
HIP75722,67.84,0.0,15.4701,-9.358,K2V,,,,,Isaacson et al.
HIP75761,121.98,0.0,15.4773,1.842,A8IV,,,,,Isaacson et al.
HIP75809,71.75,0.0,15.4864,80.448,G8IV-V+,,,,,Isaacson et al.
HIP75829,70.78,0.0,15.4899,80.450,G5,,,,,Isaacson et al.
HIP76074,19.34,0.0,15.5369,-41.276,M0,,,,,Isaacson et al.
HIP76219,94.26,0.0,15.5696,10.064,K1IV,,,,,Isaacson et al.
HIP76233,81.87,0.0,15.5724,-5.695,F7V,,,,,Isaacson et al.
HIP76267,74.69,0.0,15.5781,26.714,A0V,,,,,Isaacson et al.
HIP76315,61.97,0.0,15.5889,60.087,K5,,,,,Isaacson et al.
HIP76375,72.41,0.0,15.5991,39.831,K3V,,,,,Isaacson et al.
HIP76568,116.44,0.0,15.6378,46.797,F2V,,,,,Isaacson et al.
HIP76602,73.71,0.0,15.6444,-8.795,F6IV-V,,,,,Isaacson et al.
HIP76603,80.89,0.0,15.6445,-8.791,F6V,,,,,Isaacson et al.
HIP76779,51.21,0.0,15.6763,-18.049,K5V,,,,,Isaacson et al.
HIP76829,57.08,0.0,15.6865,-44.661,F5IV-V,,,,,Isaacson et al.
HIP76832,42.40,0.0,15.6879,75.993,M4,,,,,Isaacson et al.
HIP76952,144.81,0.0,15.7124,26.296,A1Vs,,,,,Isaacson et al.
HIP77052,47.62,0.0,15.7338,2.515,G5V,,,,,Isaacson et al.
HIP77060,146.77,0.0,15.7346,-15.673,A6IV,,,,,Isaacson et al.
HIP77070,73.06,0.0,15.7378,6.426,K2III,,,,,Isaacson et al.
HIP77233,152.97,0.0,15.7698,15.422,A3V,,,,,Isaacson et al.
HIP77257,38.16,0.0,15.7741,7.353,G0Vvar,,,,,Isaacson et al.
HIP77349,50.55,0.0,15.7902,10.896,K:...,,,,,Isaacson et al.
HIP77358,49.58,0.0,15.7914,-37.916,G6IV,,,,,Isaacson et al.
HIP77408,69.47,0.0,15.8026,1.572,G8V,,,,,Isaacson et al.
HIP77409,85.78,0.0,15.8028,74.414,K5,,,,,Isaacson et al.
HIP77464,160.14,0.0,15.8158,-3.818,A5IV,,,,,Isaacson et al.
HIP77516,155.58,0.0,15.8270,-3.430,A0V,,,,,Isaacson et al.
HIP77574,146.44,0.0,15.8379,-45.402,F0V,,,,,Isaacson et al.
HIP77622,70.12,0.0,15.8469,4.478,A2m,,,,,Isaacson et al.
HIP77655,101.43,0.0,15.8539,35.657,K0III-I,,,,,Isaacson et al.
HIP77660,159.16,0.0,15.8543,-3.090,A3Vn,,,,,Isaacson et al.
HIP77725,73.39,0.0,15.8689,10.874,M2,,,,,Isaacson et al.
HIP77760,51.53,0.0,15.8779,42.451,F9V,,,,,Isaacson et al.
HIP77801,56.75,0.0,15.8867,13.196,G0IV,,,,,Isaacson et al.
HIP77908,82.52,0.0,15.9107,-26.004,K5V,,,,,Isaacson et al.
HIP77952,40.12,0.0,15.9191,-63.431,F2III,,,,,Isaacson et al.
HIP78072,36.20,0.0,15.9409,15.661,F6V,,,,,Isaacson et al.
HIP78170,47.62,0.0,15.9613,-42.624,K5V,,,,,Isaacson et al.
HIP78180,110.24,0.0,15.9632,54.750,F0IV,,,,,Isaacson et al.
HIP78241,84.80,0.0,15.9756,27.740,K0V,,,,,Isaacson et al.
HIP78286,159.82,0.0,15.9846,49.881,F0IV,,,,,Isaacson et al.
HIP78353,45.34,0.0,15.9982,-8.253,M0,,,,,Isaacson et al.
HIP78459,56.75,0.0,16.0174,33.303,G2V,,,,,Isaacson et al.
HIP78662,139.92,0.0,16.0589,-57.775,A7IV,,,,,Isaacson et al.
HIP78709,69.80,0.0,16.0677,25.255,G8V,,,,,Isaacson et al.
HIP78734,75.67,0.0,16.0731,-33.061,---,,,,,Isaacson et al.
HIP78775,46.64,0.0,16.0824,39.156,G8V,,,,,Isaacson et al.
HIP78843,60.34,0.0,16.0946,-20.450,K3/K4V,,,,,Isaacson et al.
HIP78914,123.29,0.0,16.1082,-45.173,Am,,,,,Isaacson et al.
HIP78913,76.32,0.0,16.1082,38.632,K3V,,,,,Isaacson et al.
HIP79119,112.85,0.0,16.1495,36.491,K0III-I,,,,,Isaacson et al.
HIP79137,99.15,0.0,16.1531,6.379,K1+...,,,,,Isaacson et al.
HIP79190,46.64,0.0,16.1619,-56.445,K3V,,,,,Isaacson et al.
HIP79248,59.03,0.0,16.1734,43.818,K0V,,,,,Isaacson et al.
HIP79492,79.26,0.0,16.2218,13.527,G8V,,,,,Isaacson et al.
HIP79537,44.68,0.0,16.2302,-57.570,K0V,,,,,Isaacson et al.
HIP79578,71.10,0.0,16.2366,-31.664,G1V,,,,,Isaacson et al.
HIP79607,70.45,0.0,16.2447,33.859,F8V,,,,,Isaacson et al.
HIP79672,45.66,0.0,16.2604,-8.369,G1V,,,,,Isaacson et al.
HIP79702,83.82,0.0,16.2659,7.357,K4V,,,,,Isaacson et al.
HIP79755,34.57,0.0,16.2785,67.239,M0Vvar,,,,,Isaacson et al.
HIP79762,34.90,0.0,16.2792,67.256,M3,,,,,Isaacson et al.
HIP79796,67.19,0.0,16.2848,55.269,M1.5Ve,,,,,Isaacson et al.
HIP79822,97.19,0.0,16.2918,75.755,F5V,,,,,Isaacson et al.
HIP79881,140.25,0.0,16.3050,-28.614,A0V:,,,,,Isaacson et al.
HIP79882,107.31,0.0,16.3054,-4.692,G8III,,,,,Isaacson et al.
HIP79958,90.02,0.0,16.3211,-55.505,K5III,,,,,Isaacson et al.
HIP80000,127.20,0.0,16.3307,-50.155,G8III,,,,,Isaacson et al.
HIP80008,87.41,0.0,16.3320,39.708,F3IV-V,,,,,Isaacson et al.
HIP80018,27.63,0.0,16.3343,-37.529,M4,,,,,Isaacson et al.
HIP80043,83.82,0.0,16.3383,-48.226,K3V,,,,,Isaacson et al.
HIP80093,51.86,0.0,16.3480,40.961,M0,,,,,Isaacson et al.
HIP80179,89.04,0.0,16.3679,1.029,F0V,,,,,Isaacson et al.
HIP80268,54.79,0.0,16.3854,-24.710,M2,,,,,Isaacson et al.
HIP80331,87.41,0.0,16.3999,61.514,G8III,,,,,Isaacson et al.
HIP80337,41.75,0.0,16.4004,-39.193,G3/G5V,,,,,Isaacson et al.
HIP80366,70.12,0.0,16.4055,-13.642,K2V,,,,,Isaacson et al.
HIP80459,21.46,0.0,16.4235,54.304,M2,,,,,Isaacson et al.
HIP80480,137.96,0.0,16.4287,78.964,F0V,,,,,Isaacson et al.
HIP80628,121.98,0.0,16.4634,-8.372,A3m,,,,,Isaacson et al.
HIP80644,57.73,0.0,16.4658,7.305,K5,,,,,Isaacson et al.
HIP80645,131.77,0.0,16.4659,-64.058,F4IV,,,,,Isaacson et al.
HIP80686,39.46,0.0,16.4745,-70.084,F9V,,,,,Isaacson et al.
HIP80725,63.60,0.0,16.4813,18.414,K2V,,,,,Isaacson et al.
GJ628,13.89,0.0,16.5050,-12.662,M3.5V,,,,,Isaacson et al.
HIP80925,80.23,0.0,16.5250,-39.012,K0V,,,,,Isaacson et al.
HIP81262,72.73,0.0,16.5973,-53.757,K4V,,,,,Isaacson et al.
HIP81300,31.87,0.0,16.6059,-2.324,K2V,,,,,Isaacson et al.
HIP81348,83.50,0.0,16.6136,31.097,K5,,,,,Isaacson et al.
HIP81375,65.56,0.0,16.6190,0.000,K0,,,,,Isaacson et al.
HIP81520,70.45,0.0,16.6511,-58.258,G3V,,,,,Isaacson et al.
HIP81657,100.13,0.0,16.6807,-60.446,F2III-I,,,,,Isaacson et al.
HIP81813,79.26,0.0,16.7107,68.102,K1V,,,,,Isaacson et al.
HIP81833,111.87,0.0,16.7149,38.922,G8III-I,,,,,Isaacson et al.
HIP81919,89.04,0.0,16.7323,43.475,K5,,,,,Isaacson et al.
HIP81935,46.64,0.0,16.7375,-38.944,K2V,,,,,Isaacson et al.
HIP82003,31.87,0.0,16.7518,33.509,K7V,,,,,Isaacson et al.
HIP82020,87.08,0.0,16.7549,56.782,F2V,,,,,Isaacson et al.
HIP82333,73.71,0.0,16.8235,39.276,M0,,,,,Isaacson et al.
HIP82389,87.08,0.0,16.8348,18.900,K0,,,,,Isaacson et al.
HIP82396,65.23,0.0,16.8361,-34.293,K2IIIb,,,,,Isaacson et al.
HIP82587,97.85,0.0,16.8828,31.702,F0V,,,,,Isaacson et al.
HIP82588,55.12,0.0,16.8830,0.000,G8V,,,,,Isaacson et al.
HIP82817,18.69,0.0,16.9247,-8.336,M3Ve,,,,,Isaacson et al.
HIP82834,60.67,0.0,16.9272,-32.068,K4/K5V,,,,,Isaacson et al.
HIP82860,48.92,0.0,16.9338,65.135,F6Vvar,,,,,Isaacson et al.
HIP82926,47.29,0.0,16.9468,-39.094,M3Ve+..,,,,,Isaacson et al.
HIP83000,85.78,0.0,16.9611,9.375,K2IIIva,,,,,Isaacson et al.
HIP83006,57.08,0.0,16.9617,47.362,K0,,,,,Isaacson et al.
HIP83020,58.38,0.0,16.9648,47.367,K0,,,,,Isaacson et al.
HIP83043,33.59,0.0,16.9691,25.744,M2,,,,,Isaacson et al.
HIP83101,62.30,0.0,16.9817,-39.558,K3/K4V,,,,,Isaacson et al.
HIP83207,162.75,0.0,17.0048,30.926,A0V,,,,,Isaacson et al.
HIP83363,82.84,0.0,17.0379,-61.568,K3V,,,,,Isaacson et al.
HIP83389,58.71,0.0,17.0434,47.082,G8V,,,,,Isaacson et al.
HIP83431,85.78,0.0,17.0524,-53.237,F6V,,,,,Isaacson et al.
HIP83451,81.87,0.0,17.0552,59.585,K4V...,,,,,Isaacson et al.
HIP83541,58.71,0.0,17.0744,-28.582,K1V,,,,,Isaacson et al.
HIP83591,34.90,0.0,17.0843,-5.066,K5V,,,,,Isaacson et al.
HIP83599,36.20,0.0,17.0872,-5.094,M0V,,,,,Isaacson et al.
HIP83601,66.21,0.0,17.0880,0.000,F9V,,,,,Isaacson et al.
HIP83608,87.74,0.0,17.0889,54.470,F5,,,,,Isaacson et al.
HIP83613,143.51,0.0,17.0896,12.741,A4IV,,,,,Isaacson et al.
HIP83762,44.03,0.0,17.1188,21.554,M3,,,,,Isaacson et al.
HIP83846,73.39,0.0,17.1354,-41.724,K5V,,,,,Isaacson et al.
HIP83945,23.65,0.0,17.1587,43.681,M3,,,,,Isaacson et al.
HIP83990,44.36,0.0,17.1696,-60.729,K0V,,,,,Isaacson et al.
HIP83988,69.15,0.0,17.1696,54.494,K0,,,,,Isaacson et al.
HIP83996,67.84,0.0,17.1701,54.490,K8,,,,,Isaacson et al.
HIP84012,83.82,0.0,17.1730,-15.725,A2.5Va,,,,,Isaacson et al.
HIP84051,40.77,0.0,17.1831,-52.515,---,,,,,Isaacson et al.
HIP84123,35.22,0.0,17.1979,-1.852,G,,,,,Isaacson et al.
HIP84183,135.68,0.0,17.2091,62.874,F0IV,,,,,Isaacson et al.
HIP84195,66.86,0.0,17.2104,18.351,K0,,,,,Isaacson et al.
HIP84223,77.63,0.0,17.2153,42.332,M1V:,,,,,Isaacson et al.
HIP84379,78.28,0.0,17.2505,24.839,A3IVv:S,,,,,Isaacson et al.
HIP84405,19.50,0.0,17.2558,-26.603,K2:III:,,,,,Isaacson et al.
HIP84478,19.44,0.0,17.2704,-26.546,K5V,,,,,Isaacson et al.
HIP84521,48.60,0.0,17.2781,8.058,M3.5,,,,,Isaacson et al.
HIP84607,78.28,0.0,17.2946,29.227,K2,,,,,Isaacson et al.
HIP84616,60.34,0.0,17.2973,52.447,K2,,,,,Isaacson et al.
HIP84709,22.73,0.0,17.3159,-34.990,K4V,,,,,Isaacson et al.
HIP84720,28.64,0.0,17.3177,-46.636,M0V,,,,,Isaacson et al.
HIP84790,40.12,0.0,17.3313,41.714,M4,,,,,Isaacson et al.
HIP84862,46.64,0.0,17.3443,32.468,G0V,,,,,Isaacson et al.
HIP84893,56.42,0.0,17.3501,-21.113,F2/F3V,,,,,Isaacson et al.
HIP85042,63.27,0.0,17.3809,-2.388,G5IV,,,,,Isaacson et al.
HIP85157,139.27,0.0,17.4018,22.960,F0IV,,,,,Isaacson et al.
HIP85235,41.42,0.0,17.4167,67.307,K0V,,,,,Isaacson et al.
HIP85295,25.15,0.0,17.4292,2.111,K7V,,,,,Isaacson et al.
HIP85340,83.50,0.0,17.4395,-24.175,A3IV:m,,,,,Isaacson et al.
HIP85365,97.85,0.0,17.4439,-5.086,F3V,,,,,Isaacson et al.
GJ674,14.81,0.0,17.4777,-46.895,M2.5V,,,,,Isaacson et al.
HIP85561,59.03,0.0,17.4852,-23.836,K5V,,,,,Isaacson et al.
HIP85582,76.65,0.0,17.4889,29.392,K2,,,,,Isaacson et al.
HIP85647,52.51,0.0,17.5031,-51.637,M0,,,,,Isaacson et al.
HIP85653,72.73,0.0,17.5046,47.402,G5,,,,,Isaacson et al.
HIP85665,32.55,0.0,17.5063,5.548,M1V...,,,,,Isaacson et al.
HIP85699,155.90,0.0,17.5132,86.968,A2m,,,,,Isaacson et al.
HIP85810,76.97,0.0,17.5336,34.271,G5V,,,,,Isaacson et al.
HIP85819,98.83,0.0,17.5363,55.184,Am...,,,,,Isaacson et al.
HIP85829,99.80,0.0,17.5378,55.173,Am,,,,,Isaacson et al.
HIP85922,157.86,0.0,17.5583,-5.745,A5V,,,,,Isaacson et al.
HIP86032,46.64,0.0,17.5822,12.560,A5III,,,,,Isaacson et al.
HIP86036,45.66,0.0,17.5832,61.874,G0V,,,,,Isaacson et al.
HIP86057,31.87,0.0,17.5871,-48.681,K5,,,,,Isaacson et al.
HIP86087,45.66,0.0,17.5929,61.681,M1,,,,,Isaacson et al.
HIP86141,61.97,0.0,17.6037,71.878,K5,,,,,Isaacson et al.
GJ687,14.77,0.0,17.6072,68.339,M3.0V,,,,,Isaacson et al.
HIP86201,76.32,0.0,17.6159,68.758,F5V,,,,,Isaacson et al.
HIP86214,16.44,0.0,17.6177,-44.319,M5,,,,,Isaacson et al.
GJ682,16.44,0.0,17.6177,-44.319,M4.0V,,,,,Isaacson et al.
HIP86282,72.08,0.0,17.6302,22.956,M0...,,,,,Isaacson et al.
HIP86287,26.48,0.0,17.6315,18.592,M1,,,,,Isaacson et al.
HIP86305,137.31,0.0,17.6349,-54.500,A7V,,,,,Isaacson et al.
HIP86340,77.95,0.0,17.6428,71.332,M0,,,,,Isaacson et al.
HIP86400,34.90,0.0,17.6547,3.555,K3V,,,,,Isaacson et al.
HIP86456,86.11,0.0,17.6655,65.001,K0,,,,,Isaacson et al.
HIP86486,71.10,0.0,17.6733,-49.416,F3IV,,,,,Isaacson et al.
HIP86614,71.75,0.0,17.6990,72.149,F5IV-V,,,,,Isaacson et al.
HIP86620,72.73,0.0,17.6995,72.157,G0V,,,,,Isaacson et al.
HIP86623,115.79,0.0,17.6996,15.952,F4Vw,,,,,Isaacson et al.
HIP86722,76.65,0.0,17.7210,21.609,K0V,,,,,Isaacson et al.
HIP86736,57.08,0.0,17.7238,-21.683,F6/F7V,,,,,Isaacson et al.
HIP86742,81.87,0.0,17.7246,4.567,K2III,,,,,Isaacson et al.
HIP86776,30.92,0.0,17.7322,43.379,M3,,,,,Isaacson et al.
HIP86796,49.58,0.0,17.7357,-51.834,G5V,,,,,Isaacson et al.
HIP86990,18.95,0.0,17.7762,-57.319,M5,,,,,Isaacson et al.
HIP87108,94.59,0.0,17.7982,2.707,A0V,,,,,Isaacson et al.
HIP87261,126.55,0.0,17.8310,-37.043,K0/K1II,,,,,Isaacson et al.
HIP87558,102.09,0.0,17.8873,6.101,F4IV-V,,,,,Isaacson et al.
HIP87579,80.89,0.0,17.8916,21.325,K0,,,,,Isaacson et al.
HIP87585,111.22,0.0,17.8921,56.873,K2III,,,,,Isaacson et al.
HIP87768,75.02,0.0,17.9291,18.500,K5,,,,,Isaacson et al.
GJ699,5.97,0.0,17.9635,4.693,M3.5V,,,,,Isaacson et al.
HIP87938,44.03,0.0,17.9642,46.589,M:,,,,,Isaacson et al.
HIP88175,75.34,0.0,18.0081,-3.690,F3V,,,,,Isaacson et al.
HIP88348,71.43,0.0,18.0419,26.313,K0V,,,,,Isaacson et al.
HIP88574,25.41,0.0,18.0854,-3.031,M2V,,,,,Isaacson et al.
HIP88601,16.57,0.0,18.0909,2.500,K0V:SB,,,,,Isaacson et al.
GJ702A,16.63,0.0,18.0909,2.500,K0.0V,,,,,Isaacson et al.
GJ702B,16.63,0.0,18.0909,2.500,K5V,,,,,Isaacson et al.
HIP88622,79.26,0.0,18.0938,4.657,G0V,,,,,Isaacson et al.
HIP88635,95.89,0.0,18.0968,-30.424,K0III,,,,,Isaacson et al.
HIP88684,113.83,0.0,18.1042,-4.751,K1IV,,,,,Isaacson et al.
HIP88694,56.42,0.0,18.1066,-36.020,G3V,,,,,Isaacson et al.
HIP88726,142.86,0.0,18.1139,-43.425,A5V,,,,,Isaacson et al.
HIP88745,50.88,0.0,18.1171,30.562,F7V,,,,,Isaacson et al.
HIP88771,82.52,0.0,18.1225,9.564,A4IVs,,,,,Isaacson et al.
HIP88866,138.29,0.0,18.1430,-63.668,Am,,,,,Isaacson et al.
HIP88972,35.88,0.0,18.1604,38.458,K2V,,,,,Isaacson et al.
HIP89042,57.73,0.0,18.1739,-62.002,G0V,,,,,Isaacson et al.
HIP89087,87.08,0.0,18.1823,49.971,K7,,,,,Isaacson et al.
HIP89211,42.07,0.0,18.2059,-43.445,K7V,,,,,Isaacson et al.
HIP89348,76.32,0.0,18.2316,64.397,F5V,,,,,Isaacson et al.
HIP89474,73.71,0.0,18.2590,45.209,G2V,,,,,Isaacson et al.
HIP89560,55.77,0.0,18.2753,45.558,M0,,,,,Isaacson et al.
HIP89805,74.69,0.0,18.3278,-63.886,F9V,,,,,Isaacson et al.
HIP89825,62.95,0.0,18.3308,-1.938,K7V,,,,,Isaacson et al.
HIP89937,26.26,0.0,18.3509,72.733,F7Vvar,,,,,Isaacson et al.
HIP89962,61.64,0.0,18.3552,-2.899,K0III-I,,,,,Isaacson et al.
HIP90035,87.41,0.0,18.3714,1.707,K7V,,,,,Isaacson et al.
HIP90139,128.18,0.0,18.3950,21.770,K2III,,,,,Isaacson et al.
HIP90376,79.58,0.0,18.4413,79.423,K5,,,,,Isaacson et al.
HIP90496,76.97,0.0,18.4662,-25.422,K1IIIb,,,,,Isaacson et al.
HIP90568,127.20,0.0,18.4805,-49.071,G8/K0II,,,,,Isaacson et al.
HIP90626,87.41,0.0,18.4922,9.062,K2,,,,,Isaacson et al.
HIP90656,60.99,0.0,18.4979,-1.818,K3V,,,,,Isaacson et al.
HIP90790,43.05,0.0,18.5219,-18.909,K1V,,,,,Isaacson et al.
HIP90945,61.32,0.0,18.5514,-54.263,K4Vp...,,,,,Isaacson et al.
HIP90959,76.32,0.0,18.5549,22.314,K4V,,,,,Isaacson et al.
HIP90979,82.84,0.0,18.5580,-11.636,K7V,,,,,Isaacson et al.
HIP91009,53.49,0.0,18.5655,51.719,K7Vvar,,,,,Isaacson et al.
HIP91128,50.23,0.0,18.5884,45.744,M2,,,,,Isaacson et al.
HIP91154,70.12,0.0,18.5972,-61.227,K3V,,,,,Isaacson et al.
HIP91217,126.55,0.0,18.6077,9.122,F5III,,,,,Isaacson et al.
HIP91237,103.39,0.0,18.6109,6.672,F3V,,,,,Isaacson et al.
HIP91262,25.28,0.0,18.6156,38.784,A0Vvar,,,,,Isaacson et al.
HIP91430,41.42,0.0,18.6457,-14.490,M1V:,,,,,Isaacson et al.
HIP91438,42.07,0.0,18.6482,-21.052,G5V,,,,,Isaacson et al.
HIP91605,77.63,0.0,18.6819,31.533,K3V,,,,,Isaacson et al.
HIP91608,52.84,0.0,18.6826,-13.379,M,,,,,Isaacson et al.
HIP91699,36.86,0.0,18.6997,31.830,M4,,,,,Isaacson et al.
GJ725,11.48,0.0,18.7130,59.630,M3.0V,,,,,Isaacson et al.
GJ725,11.48,0.0,18.7131,59.626,M3.5V,,,,,Isaacson et al.
HIP91919,162.10,0.0,18.7390,39.670,F1V,,,,,Isaacson et al.
HIP91926,160.14,0.0,18.7397,39.613,A8Vn,,,,,Isaacson et al.
HIP91971,153.62,0.0,18.7462,37.605,Am,,,,,Isaacson et al.
HIP91973,150.03,0.0,18.7467,37.594,F0IVvar,,,,,Isaacson et al.
SCR1845,12.56,0.0,18.7515,-63.963,M8.5V,,,,,Isaacson et al.
HIP92024,95.24,0.0,18.7575,-64.871,A7V,,,,,Isaacson et al.
HIP92043,61.97,0.0,18.7610,20.546,F6V,,,,,Isaacson et al.
HIP92161,92.63,0.0,18.7837,18.181,A5III,,,,,Isaacson et al.
HIP92200,45.99,0.0,18.7909,-3.640,K5,,,,,Isaacson et al.
HIP92270,93.28,0.0,18.8046,23.515,F8V,,,,,Isaacson et al.
HIP92283,56.42,0.0,18.8081,10.745,K0,,,,,Isaacson et al.
HIP92311,55.45,0.0,18.8144,17.439,M0,,,,,Isaacson et al.
GJ729,9.65,0.0,18.8304,-23.836,M3.5V,,,,,Isaacson et al.
HIP92451,54.14,0.0,18.8407,-62.051,M3,,,,,Isaacson et al.
HIP92549,84.80,0.0,18.8597,52.975,G9IVa,,,,,Isaacson et al.
HIP92573,50.55,0.0,18.8642,16.583,M2,,,,,Isaacson et al.
HIP92858,77.95,0.0,18.9219,-37.498,K1V,,,,,Isaacson et al.
HIP92871,37.51,0.0,18.9243,8.402,M2Ve,,,,,Isaacson et al.
HIP92919,69.80,0.0,18.9314,23.556,K0V,,,,,Isaacson et al.
HIP92946,131.77,0.0,18.9370,4.203,A5V,,,,,Isaacson et al.
HIP92951,142.53,0.0,18.9374,4.202,A5Vn,,,,,Isaacson et al.
HIP92984,88.06,0.0,18.9437,4.265,G5,,,,,Isaacson et al.
HIP93017,48.60,0.0,18.9504,32.901,G0V,,,,,Isaacson et al.
