Name      RA rm rs    Dec dm ds yr    mag  sp      pc     pmRA  pmDec
HIP19884  04 15 56.9  -53 18 35 2000  7.64 K5V     13.0   0.78  0.40
HIP19893  04 16 01.6  -51 29 11 2000  4.26 F4III   20.3   0.10  0.18
HIP19921  04 16 29.0  -59 18 07 2000  4.44 K2IV    18.2  -0.05 -0.17
HIP19930  04 16 32.7   36 30 06 2000  8.25 K2      25.5  -0.03 -0.23
HIP19990  04 17 15.7   20 34 42 2000  4.93 A3m     28.6  -0.04 -0.06
HIP20219  04 19 57.7   14 02 06 2000  5.58 F3V...  44.8   0.12 -0.02
HIP20261  04 20 36.3   15 05 43 2000  5.26 F0V     47.1   0.11 -0.02
HIP20542  04 24 05.8   17 26 38 2000  4.80 A7V     44.7   0.11 -0.03
HIP20635  04 25 22.2   22 17 37 2000  4.21 A7IV-V  47.0   0.11 -0.04
HIP20641  04 25 25.0   22 11 59 2000  5.27 A7V     44.1   0.11 -0.05
HIP20648  04 25 29.4   17 55 40 2000  4.30 A2IV    45.3   0.11 -0.03
HIP20713  04 26 20.7   15 37 05 2000  4.48 F0V...  47.9   0.11 -0.03
HIP20842  04 28 00.8   21 37 11 2000  5.72 Am      47.9   0.10 -0.04
HIP20901  04 28 50.2   13 02 51 2000  5.02 A7V     49.1   0.11 -0.02
HIP20917  04 29 00.1   21 55 21 2000  8.30 K7V     11.4  -0.07  0.18
HIP21029  04 30 33.6   16 11 38 2000  4.78 A6IV    44.3   0.10 -0.03
HIP21036  04 30 37.4   13 43 27 2000  5.40 F0V     45.7   0.11 -0.02
HIP21039  04 30 38.9   15 41 30 2000  5.47 Am      44.3   0.10 -0.02
HIP21223  04 33 09.3  -36 56 45 2000  8.74 K4V     25.0  -0.02  0.04
HIP21248  04 33 30.6  -29 45 59 2000  4.49 K0III   38.1  -0.11 -0.27
HIP21272  04 33 50.4   05 23 06 2000  7.92 K0      26.7  -0.09 -0.28
HIP21273  04 33 50.9   14 50 39 2000  4.65 A8V     46.7   0.10 -0.03
HIP21284  04 34 01.2  -43 31 28 2000  8.81 K5V     22.4   0.06 -0.08
HIP21402  04 35 39.3   10 09 38 2000  4.25 A5m     46.1   0.04 -0.05
HIP21421  04 35 55.2   16 30 33 2000  0.87 K5III   19.9   0.06 -0.19
HIP21482  04 36 48.2   27 07 55 2000  8.10 K2      17.8   0.23 -0.15
HIP21547  04 37 36.1  -02 28 24 2000  5.22 F0V     29.7   0.04 -0.06
HIP21553  04 37 40.9   52 53 37 2000  8.62 K8V     10.1   0.31 -0.48
HIP21556  04 37 41.9  -11 02 19 2000 10.3  M1      11.0  -0.23 -0.19
HIP21589  04 38 09.5   12 30 38 2000  4.27 A6V     45.8   0.10 -0.01
HIP21594  04 38 10.8  -14 18 14 2000  3.86 K1III   33.5  -0.08 -0.18
HIP21673  04 39 09.2   15 47 59 2000  5.08 A4m     46.5   0.03 -0.08
HIP21683  04 39 16.5   15 55 04 2000  4.67 A5Vn    48.7   0.08 -0.02
HIP21770  04 40 33.7  -41 51 49 2000  4.44 F2V     20.1  -0.14 -0.07
HIP21818  04 41 18.9   20 54 05 2000  8.09 K3V     13.4  -0.23 -0.25
HIP21861  04 42 03.5  -37 08 39 2000  5.04 F3V     27.6   0.05  0.19
HIP21932  04 42 55.8   18 57 29 2000  9.95 M2       9.41  0.66 -1.11
HIP21988  04 43 35.4   27 41 14 2000  8.00 K5III   22.3   0.05 -0.27
HIP22044  04 44 25.8   11 08 46 2000  5.39 F0V     48.2   0.10 -0.01
HIP22122  04 45 38.6  -50 04 27 2000  7.58 K0V     20.4  -0.45 -0.34
HIP22263  04 47 36.3  -16 56 04 2000  5.49 G3V     13.3   0.13  0.17
HIP22287  04 48 00.3   56 45 25 2000  5.29 A3m     49.7   0.05 -0.15
HIP22288  04 48 01.1   10 56 01 2000  9.53 K7V     26.1   0.08 -0.11
HIP22361  04 48 50.4   75 56 28 2000  5.96 A9IV    45.6   0.04 -0.13
HIP22449  04 49 50.4   06 57 40 2000  3.19 F6V      8.02  0.46  0.01
HIP22451  04 49 52.3  -35 06 27 2000  7.49 K2V     17.9  -0.03 -0.11
HIP22498  04 50 25.1   63 19 58 2000  9.99 K7      23.4   0.22 -0.19
HIP22531  04 50 55.3  -53 27 41 2000  5.58 F0IV... 37.0  -0.08  0.09
HIP22627  04 52 05.7   06 28 35 2000 11.9  M4      12.1   0.15 -0.31
HIP22715  04 53 04.7   22 14 06 2000  8.78 K5V     26.9   0.15 -0.13
HIP22738  04 53 31.2  -55 51 37 2000 10.7  M2Ve    11.1   0.13  0.07
HIP22762  04 53 50.0  -17 46 24 2000 10.9  M3      12.3   0.41 -0.64
HIP22787  04 54 04.2  -35 24 16 2000  7.60 K0V     25.9   0.13  0.16
HIP22844  04 54 53.0  -58 32 51 2000  6.11 F3V     30.8   0.10  0.07
HIP22845  04 54 53.7   10 09 02 2000  4.64 A0V     36.9   0.04 -0.13
HIP22907  04 55 41.9  -28 33 50 2000  8.13 K3/K4V  17.9   0.19 -0.23
HIP23147  04 58 50.6   49 50 57 2000  9.80 M2      16.5   0.11 -0.11
HIP23179  04 59 15.4   37 53 24 2000  4.93 A1V     48.7   0.05 -0.10
HIP23296  05 00 39.8  -02 03 57 2000  6.31 A8IV    49.5  -0.01  0.00
HIP23309  05 00 47.1  -57 15 25 2000 10.0  ---     26.2   0.04  0.07
HIP23311  05 00 49.0  -05 45 13 2000  6.22 K3V      8.81  0.55 -1.11
HIP23437  05 02 17.1  -56 04 49 2000  7.02 G5V     22.2  -0.05  0.73
HIP23452  05 02 28.4  -21 15 23 2000  8.31 M0V      8.51 -0.14 -0.22
HIP23482  05 02 48.7  -49 09 05 2000  5.37 F2V     26.1  -0.04  0.03
HIP23497  05 03 05.7   21 35 23 2000  4.62 A7V     49.9   0.07 -0.04
HIP23512  05 03 20.1  -17 22 24 2000 11.7  K:       9.27 -0.23 -0.45
HIP23516  05 03 21.9  -23 15 00 2000  9.28 K5V     26.3   0.25  0.16
HIP23693  05 05 30.7  -57 28 21 2000  4.71 F7V     11.6  -0.03  0.12
HIP23708  05 05 47.4  -57 33 13 2000  8.98 K7V     11.5  -0.03  0.12
HIP23783  05 06 40.6   51 35 51 2000  4.98 F0V     26.2  -0.03 -0.17
HIP23786  05 06 42.2   14 26 46 2000  7.74 K0V     23.9   0.28 -0.24
HIP23875  05 07 51.0  -05 05 11 2000  2.78 A3IIIva 27.2  -0.08 -0.08
HIP23932  05 08 35.0  -18 10 19 2000 10.2  M5       9.31  0.50 -1.40
HIP23941  05 08 43.7  -04 27 22 2000  5.11 F2V     25.0   0.06  0.02
GJ191     05 11 40.6  -45 01 06 2000  8.85 M2.0V    3.91  6.50 -5.73
HIP24284  05 12 42.2   19 39 56 2000 10.8  M5      12.7   0.28  0.24
HIP24332  05 13 17.4   37 20 14 2000  6.48 F8      25.9  -0.14 -0.14
HIP24340  05 13 25.7   38 29 04 2000  4.82 A4m     49.8  -0.02 -0.07
HIP24454  05 14 48.1   00 39 43 2000  9.97 K2III   26.2   0.24 -0.45
HIP24659  05 17 29.1  -34 53 42 2000  4.81 K0/K1II 33.7   0.09 -0.34
HIP24783  05 18 47.2  -21 23 37 2000  9.35 K4V     20.2  -0.14 -0.04
HIP24786  05 18 50.5  -18 07 48 2000  5.96 G0V     24.9   0.38  0.06
HIP24813  05 19 08.5   40 05 56 2000  4.69 G0V     12.6   0.52 -0.66
HIP24819  05 19 12.7  -03 04 25 2000  7.77 K3V     16.8   0.70  0.14
HIP24874  05 19 59.6  -15 50 22 2000  8.72 K3V     24.3   0.17  0.20
HIP25110  05 22 33.5   79 13 52 2000  5.08 F6V     20.9  -0.08  0.16
HIP25119  05 22 37.5   02 36 11 2000  7.76 K3V     19.9   0.05 -0.14
HIP25220  05 23 38.4   17 19 26 2000  7.93 K2      14.3   0.25  0.00
HIP25278  05 24 25.5   17 23 00 2000  5.00 F8V:SB  14.6   0.25 -0.01
HIP25283  05 24 30.2  -38 58 10 2000  9.08 K2      17.7   0.04 -0.06
HIP25421  05 26 14.7  -32 30 17 2000  7.70 K2/K3V  17.9   0.25 -0.09
HIP25486  05 27 04.8  -11 54 03 2000  6.30 F7V:    26.8   0.02 -0.05
HIP25544  05 27 39.4  -60 24 57 2000  6.99 G5V     19.5  -0.15 -0.09
HIP25578  05 28 00.2   09 38 38 2000 12.4  M5       8.69 -0.19 -0.76
HIP25623  05 28 26.1  -03 29 58 2000  7.65 K5V     12.9  -0.31 -0.80
HIP25647  05 28 44.8  -65 26 54 2000  6.88 K1III(p 14.9   0.03  0.15
HIP25775  05 30 14.0  -42 41 50 2000  9.72 M0V     19.3   0.03 -0.15
HIP25878  05 31 27.4  -03 40 38 2000  7.97 M1V      5.69  0.76 -2.09
HIP25918  05 31 53.0  -76 20 27 2000  5.18 K4III   30.8   0.14  0.29
HIP26335  05 36 31.0   11 19 40 2000  8.78 K7      11.3   0.00 -0.06
HIP26366  05 36 54.4   09 17 26 2000  4.09 G8III-I 35.5   0.10 -0.30
HIP26369  05 36 55.1  -47 57 48 2000  9.84 ---     24.2   0.01  0.02
HIP26373  05 36 56.9  -47 57 52 2000  7.95 K0V     23.8   0.03  0.00
HIP26394  05 37 09.9  -80 28 08 2000  5.65 G3IV    18.2   0.31  1.05
HIP26501  05 38 09.4  -46 06 21 2000  7.33 G5      25.2  -0.13 -0.47
HIP26505  05 38 11.9   51 26 44 2000  7.74 K2V     20.5  -0.55  0.11
HIP26563  05 38 53.1  -07 12 46 2000  4.77 A4V     47.0  -0.01 -0.05
HIP26624  05 39 31.1  -03 33 52 2000  5.99 A8Vs    41.3   0.00  0.00
HIP26779  05 41 20.3   53 28 51 2000  6.21 K1V     12.2   0.00 -0.52
HIP26801  05 41 30.7   53 29 23 2000  9.78 M1      12.4   0.00 -0.52
HIP26857  05 42 09.3   12 29 21 2000 11.5  M5       5.78  2.00 -1.57
HIP27072  05 44 27.8  -22 26 54 2000  3.59 F7V      8.96 -0.29 -0.37
HIP27075  05 44 28.4  -20 07 35 2000  6.34 F8/G0V  25.5  -0.02  0.04
HIP27080  05 44 31.9  -70 08 36 2000  8.09 K0V     25.5  -0.31  1.24
HIP27100  05 44 46.4  -65 44 07 2000  4.34 A7V     44.4  -0.03  0.01
HIP27188  05 45 48.3   62 14 12 2000  9.02 M0      13.6   0.30 -0.79
HIP27207  05 46 01.9   37 17 04 2000  7.34 K0V     20.5   0.49 -0.51
HIP27288  05 46 57.3  -14 49 19 2000  3.55 A2Vann  21.5  -0.01  0.00
HIP27321  05 47 17.1  -51 03 59 2000  3.85 A3V     19.2   0.00  0.08
HIP27323  05 47 18.2  -48 31 30 2000  9.74 M0V     20.7   0.03 -0.32
HIP27359  05 47 40.6  -36 19 42 2000 10.7  M2      14.9   0.77 -0.12
HIP27435  05 48 34.9  -04 05 40 2000  5.97 G4V     15.5   0.06 -0.23
HIP27628  05 50 57.6  -35 46 05 2000  3.12 K1.5III 26.3   0.06  0.40
HIP27654  05 51 19.3  -20 52 44 2000  3.76 G8III/I 34.4   0.23 -0.65
HIP27803  05 53 00.3  -05 59 41 2000  9.70 M0V     20.1   0.00 -0.35
HIP27887  05 54 04.2  -60 01 24 2000  7.17 K3V     12.8  -0.05 -0.06
HIP27890  05 54 06.1  -63 05 22 2000  4.65 K1III/I 27.2   0.12  0.57
HIP27896  05 54 10.8  -50 21 45 2000  6.53 K1V     34.8   0.09  0.55
HIP27913  05 54 23.0   20 16 34 2000  4.39 G0V      8.66 -0.16 -0.10
HIP27918  05 54 28.6   02 08 32 2000  8.84 K3V     26.6   0.08 -0.65
HIP27922  05 54 30.2  -19 42 15 2000  7.51 G6V     22.7   0.09 -0.03
HIP27947  05 54 50.1  -52 38 07 2000  5.29 F0Ve... 34.9  -0.02  0.24
HIP28103  05 56 24.3  -14 10 03 2000  3.71 F1V     15.0  -0.04  0.14
HIP28267  05 58 21.5  -04 39 02 2000  6.99 G0      23.2   0.07 -0.20
HIP28368  05 59 37.7   58 35 34 2000 10.2  M1      13.5   0.01 -0.25
HIP28442  06 00 19.5  -31 01 43 2000  7.85 K3/K4V  14.9  -0.38  1.02
HIP28614  06 02 23.0   09 38 50 2000  4.12 Am...   46.5   0.01 -0.04
HIP28764  06 04 28.4  -45 02 11 2000  6.35 G0IV-V  26.6  -0.08  0.25
HIP28790  06 04 40.1  -45 04 44 2000  5.93 F4V     27.0  -0.08  0.25
HIP28954  06 06 40.5   15 32 31 2000  6.76 K0      15.4  -0.12 -0.10
HIP29052  06 07 43.7  -25 44 41 2000 11.8  ---     11.4  -0.18 -0.20
HIP29067  06 07 55.3   67 58 36 2000  9.75 K8      24.9  -0.05 -0.11
HIP29271  06 10 14.5  -74 45 10 2000  5.08 G5V     10.1   0.12 -0.21
HIP29277  06 10 19.8   82 06 24 2000 10.4  M3       9.39  0.05 -1.34
HIP29295  06 10 34.6  -21 51 52 2000  8.15 M1/M2V   5.77 -0.14 -0.71
HIP29432  06 12 00.6   06 46 59 2000  6.85 G4V     23.1   0.20 -0.25
HIP29525  06 13 12.5   10 37 37 2000  6.43 G8V     18.1   0.08 -0.30
HIP29548  06 13 35.3   63 23 38 2000  9.67 M0      24.7   0.17 -0.20
HIP29568  06 13 45.3  -23 51 42 2000  6.37 G5V     16.6  -0.05  0.11
HIP29650  06 14 50.9   19 09 23 2000  5.20 F6V     21.1  -0.10 -0.18
HIP29761  06 16 02.7   70 46 53 2000  7.43 G5      25.7  -0.01 -0.44
HIP29800  06 16 26.6   12 16 19 2000  5.04 F5IV-V  19.6   0.08  0.19
HIP29860  06 17 16.1   05 06 00 2000  5.70 G0.5Vb  19.3  -0.19  0.17
HIP30060  06 19 37.4   59 00 39 2000  4.44 A2Vs    45.7   0.00  0.02
HIP30112  06 20 13.2   02 15 32 2000  9.83 K7V     27.9  -0.12 -0.10
HIP30314  06 22 30.9  -60 13 07 2000  6.53 G1V     23.4  -0.01  0.06
HIP30419  06 23 46.1   04 35 34 2000  4.39 A5IV    39.3  -0.02  0.01
HIP30503  06 24 43.9  -28 46 48 2000  6.37 G2V     22.0  -0.16 -0.12
HIP30630  06 26 10.2   18 45 24 2000  6.78 K0      14.6  -0.12 -0.16
HIP30756  06 27 46.0   20 46 59 2000  8.59 G0      18.0   0.04 -0.03
GJ234     06 29 23.4  -02 48 49 2000 11.1  M4.5V    4.09  0.69 -0.62
HIP31167  06 32 23.1  -05 52 07 2000  5.60 F0Vnn+. 43.2   0.00 -0.04
HIP31592  06 36 41.0  -19 15 21 2000  3.95 K1III+. 19.8   0.06 -0.07
HIP31635  06 37 10.8   17 33 53 2000  9.63 M1:      9.84 -0.78  0.33
HIP31634  06 37 11.2  -50 02 17 2000  9.61 K0      15.1   0.16  0.01
HIP31703  06 37 54.9   73 41 44 2000  6.26 F2      35.5  -0.17  0.00
HIP31711  06 38 00.4  -61 32 00 2000  6.15 G1/G2V  21.6  -0.05  0.07
HIP31878  06 39 50.0  -61 28 41 2000  9.71 M1V     21.9  -0.03  0.08
HIP32010  06 41 15.7   23 57 27 2000  8.08 K2      17.5   0.21 -0.28
HIP32322  06 44 52.0  -27 20 30 2000  6.43 F7V     26.5  -0.01  0.29
GJ244     06 45 08.9  -16 42 58 2000 -1.4  A1V      2.63 -0.55 -1.22
HIP32366  06 45 22.9  -31 47 37 2000  5.92 F7V     24.2  -0.20 -0.30
HIP32423  06 46 05.1   32 33 20 2000  8.80 K3V     24.9  -0.45  0.10
HIP32439  06 46 14.2   79 33 53 2000  5.44 F8V     17.8  -0.10 -0.60
HIP32480  06 46 44.3   43 34 38 2000  5.24 G0V     16.5   0.00  0.17
HIP32617  06 48 19.1  -01 19 08 2000  5.75 F1V     40.0  -0.04 -0.03
HIP32765  06 49 54.6  -46 36 52 2000  5.14 F5III   25.2   0.00  0.37
HIP32769  06 49 57.0   60 20 07 2000  8.59 M0p     16.4   0.25  0.41
HIP32851  06 50 49.8  -00 32 27 2000  5.78 F2V     29.8   0.02 -0.19
HIP32919  06 51 32.4   47 22 04 2000  8.95 K2      18.8  -0.25 -0.69
HIP32984  06 52 18.1  -05 10 25 2000  6.58 K3V      8.70 -0.54  0.00
HIP33142  06 54 04.2   60 52 18 2000 11.0  M:      10.6   0.49 -0.99
HIP33202  06 54 38.6   13 10 40 2000  4.73 F0Vp    27.9   0.07 -0.08
HIP33226  06 54 49.0   33 16 05 2000  9.89 K:...    5.51 -0.73 -0.40
HIP33277  06 55 18.7   25 22 32 2000  5.74 G0V     17.2  -0.04  0.03
HIP33302  06 55 37.4  -20 08 11 2000  4.66 F2IV/V  29.2   0.05  0.04
HIP33373  06 56 28.1   40 04 27 2000  9.08 K5V     24.0   0.12 -0.44
HIP33428  06 57 04.7   30 45 23 2000  9.68 M0      18.6   0.08 -0.22
HIP33478  06 57 33.9  -24 37 51 2000  5.45 F3V     38.5  -0.10  0.09
HIP33499  06 57 46.6  -44 17 28 2000 10.8  M4+...   8.02 -1.10 -0.04
HIP33537  06 58 11.8   22 28 33 2000  6.94 G5V     24.2   0.05  0.10
HIP33560  06 58 26.1  -12 59 30 2000  9.14 K4V     22.3   0.05 -0.15
HIP33690  06 59 59.7  -61 20 10 2000  6.81 K0IV-V  18.4  -0.16  0.26
HIP33817  07 01 13.7  -25 56 55 2000  6.71 K1V     14.6   0.21  0.04
HIP33852  07 01 38.6   48 22 43 2000  7.98 K3V     20.4   0.55 -0.43
HIP33955  07 02 42.9  -06 47 57 2000  8.38 K5V     18.7  -0.20 -0.31
HIP34017  07 03 30.5   29 20 13 2000  5.93 G4V     19.0   0.16 -0.83
HIP34052  07 03 50.2  -43 33 40 2000  8.67 K5V...  16.9  -0.08  0.40
HIP34065  07 03 57.3  -43 36 28 2000  5.56 G3V...  16.2  -0.10  0.39
HIP34069  07 03 58.9  -43 36 40 2000  6.83 K0V     15.0  -0.10  0.40
HIP34104  07 04 17.7   10 30 31 2000 10.9  M5      15.3  -0.12 -0.82
HIP34115  07 04 25.9   68 17 19 2000 11.9  M5      15.2   0.35  0.05
HIP34341  07 07 09.3   03 26 50 2000  9.84 M0V     26.7   0.01 -0.27
HIP34361  07 07 22.9  -21 27 27 2000 11.1  M2V:    17.2   0.20 -0.21
HIP34414  07 08 04.2   29 50 04 2000  8.32 G5      22.2  -0.16 -0.30
HIP34567  07 09 35.4   25 43 43 2000  7.09 G8V     24.5  -0.12 -0.18
HIP34782  07 12 04.1  -30 49 16 2000  6.10 A8III/I 47.5  -0.04  0.02
HIP34834  07 12 33.6  -46 45 33 2000  4.49 F0IV    21.1  -0.14  0.11
HIP34890  07 13 07.1  -63 20 41 2000  9.08 K5V     19.9  -0.27  0.58
HIP34950  07 13 53.1   25 00 40 2000  8.40 K1V     25.1  -0.41 -0.09
HIP35136  07 15 50.1   47 14 23 2000  5.54 G0V     16.8   0.03 -0.19
HIP35191  07 16 19.8   27 08 32 2000 10.8  ---     12.3  -0.04 -0.20
HIP35296  07 17 29.6  -46 58 45 2000  6.70 K2V     14.7  -0.02  0.59
HIP35350  07 18 05.6   16 32 25 2000  3.58 A3V...  28.9  -0.05 -0.04
HIP35550  07 20 07.4   21 58 56 2000  3.50 F0IV... 18.0  -0.02 -0.01
HIP35643  07 21 17.5   45 13 41 2000  5.74 A7s     34.4  -0.05  0.01
HIP35821  07 23 14.9   46 05 14 2000 10.5  M2      16.2  -0.12 -0.24
HIP35872  07 23 47.1   12 57 52 2000  8.19 G5      25.0   0.08 -0.43
HIP36046  07 25 43.6   27 47 53 2000  3.78 G9III+. 38.6  -0.12 -0.08
HIP36121  07 26 26.6  -15 46 13 2000  9.21 K4V     25.6   0.05 -0.10
HIP36152  07 26 50.3   21 32 08 2000  6.54 F6V     30.8  -0.31 -0.03
GJ273     07 27 24.5   05 13 33 2000  9.85 M3.5V    3.75  0.57 -3.69
HIP36210  07 27 25.5  -51 24 09 2000  6.72 G5IV-V  22.5  -0.29  0.00
HIP36349  07 28 51.4  -30 14 48 2000  9.96 M1V:e.. 15.5  -0.13 -0.13
HIP36357  07 29 01.8   31 59 37 2000  7.73 K2V     17.5   0.16  0.17
HIP36366  07 29 06.7   31 47 04 2000  4.16 F0V...  18.4   0.16  0.19
HIP36393  07 29 20.4   28 07 05 2000  5.07 A4V     50.0  -0.03 -0.05
HIP36399  07 29 25.6  -07 33 04 2000  5.86 F8V     27.8   0.05  0.13
HIP36439  07 29 56.0   49 40 20 2000  5.35 F6V     19.9   0.11 -0.08
HIP36515  07 30 42.5  -37 20 21 2000  6.66 G3V     21.7  -0.09  0.05
HIP36551  07 31 07.7   14 36 50 2000  8.94 K5      21.2   0.07 -0.29
HIP36627  07 31 57.3   36 13 47 2000 11.8  M4      11.4  -0.26 -0.25
HIP36704  07 33 00.6   37 01 47 2000  7.68 G5      19.6  -0.05  0.01
HIP36817  07 34 18.6  -23 28 25 2000  5.06 F6V     29.0  -0.09  0.00
HIP36827  07 34 26.2  -06 53 48 2000  8.16 K2V     24.8  -0.08 -0.04
HIP36850  07 34 35.9   31 53 17 2000  1.58 A2Vm    15.8  -0.21 -0.15
HIP36915  07 35 21.9   54 50 59 2000 11.3  M0      13.1  -0.12  0.02
HIP36927  07 35 26.8  -52 26 33 2000  8.78 K3IV-V  25.2  -0.11  0.26
HIP36985  07 36 07.1  -03 06 38 2000  9.87 ---     14.3   0.04 -0.25
HIP37217  07 38 41.0  -21 13 28 2000 11.6  M2      10.8   0.45 -0.47
GJ280     07 39 18.1   05 13 29 2000  0.37 F5IV     3.50 -0.72 -1.04
HIP37288  07 39 23.0   02 11 01 2000  9.66 M0      14.8  -0.15 -0.25
HIP37349  07 39 59.3  -03 35 51 2000  7.18 K2V     14.1   0.07 -0.28
HIP37494  07 41 45.1   49 13 19 2000  9.73 K4      26.7  -0.06  0.00
HIP37629  07 43 18.7   28 53 00 2000  4.23 K1III:S 37.4   0.06 -0.23
HIP37766  07 44 40.2   03 33 08 2000 11.1  M4.5Ve   5.93 -0.34 -0.45
HIP37826  07 45 18.9   28 01 34 2000  1.16 K0IIIva 10.3  -0.63 -0.05
HIP37853  07 45 35.0  -34 10 20 2000  5.36 G0V     15.1  -0.22  1.72
HIP38048  07 47 56.7  -12 11 33 2000  5.48 F5+...  30.2  -0.10  0.08
HIP38082  07 48 16.4   20 22 05 2000 11.4  M2      14.1   1.45 -0.99
HIP38117  07 48 39.6   53 38 54 2000  8.86 K4V     26.2  -0.12 -0.53
HIP38228  07 49 55.1   27 21 47 2000  6.90 G5IV    21.8  -0.01 -0.01
HIP38325  07 51 05.7   54 07 45 2000  6.03 F6V     30.0  -0.04  0.05
HIP38382  07 51 46.3  -13 53 52 2000  5.16 G2V     16.6  -0.07 -0.34
HIP38423  07 52 15.7  -34 42 19 2000  5.01 F3/F5V  18.0  -0.20  0.24
HIP38594  07 54 10.9  -25 18 11 2000  9.75 M       19.5  -0.30  0.20
HIP38625  07 54 34.2  -01 24 44 2000  7.43 G8V     19.2  -0.25 -0.06
HIP38657  07 54 54.1   19 14 10 2000  7.76 K2      19.9   0.09 -0.45
HIP38712  07 55 31.4   08 51 46 2000  5.86 F2IV    38.1  -0.01 -0.09
HIP38784  07 56 17.2   80 15 55 2000  6.55 G8V     17.0  -0.48  0.09
HIP38908  07 57 46.9  -60 18 11 2000  5.59 G2V...  16.1   0.52  0.12
HIP38910  07 57 48.5  -33 57 07 2000  8.83 K5V     18.3   0.14  0.30
HIP38931  07 57 57.8  -00 48 51 2000  8.05 K5V     17.4  -0.16  0.00
HIP38939  07 58 04.4  -25 37 35 2000  8.42 K3V     18.2   0.36 -0.25
HIP38956  07 58 12.7   41 18 13 2000 12.0  M4V      8.16  0.21 -0.69
HIP39064  07 59 33.9   20 50 38 2000  7.68 K0V     23.1   0.18 -0.54
HIP39157  08 00 32.1   29 12 44 2000  6.97 G8V     16.8  -0.17 -1.16
HIP39342  08 02 31.2  -66 01 15 2000  7.18 K1V     17.2  -0.16 -0.13
HIP39494  08 04 22.7   43 57 42 2000  9.83 M0      25.3   0.15 -0.02
HIP39826  08 08 13.2   21 06 18 2000  9.41 M:      17.1  -0.30 -0.35
HIP39896  08 08 56.4   32 49 11 2000  9.90 M0.5V:e 20.7  -0.03 -0.22
HIP39903  08 09 00.7  -61 18 08 2000  4.74 F5V     21.3  -0.16 -0.30
HIP40035  08 10 39.8  -13 47 57 2000  5.53 F7V     22.4  -0.25  0.06
HIP40118  08 11 38.6   32 27 25 2000  6.78 G4V     21.7  -0.46 -0.64
HIP40239  08 13 08.5  -13 55 01 2000  9.38 M0V     21.6  -0.19 -0.51
HIP40375  08 14 35.9   13 01 22 2000  8.79 K5      18.3  -0.42  0.10
HIP40438  08 15 25.2  -52 03 37 2000  6.63 G1V     27.0  -0.01 -0.06
HIP40501  08 16 08.0   01 18 09 2000 10.0  ---      9.15 -0.38  0.06
HIP40671  08 18 10.8   30 36 02 2000  8.82 K4V     22.5  -0.28 -0.82
HIP40693  08 18 23.9  -12 37 55 2000  5.95 K0V     12.5   0.28 -0.99
HIP40702  08 18 31.6  -76 55 10 2000  4.05 F5III   19.4   0.11  0.11
HIP40706  08 18 33.3  -36 39 33 2000  4.44 A4m...  28.5  -0.11  0.10
HIP40774  08 19 19.1   01 20 19 2000  8.35 G5      23.3  -0.16 -0.05
HIP40843  08 20 03.9   27 13 03 2000  5.13 F6V     18.1  -0.02 -0.38
HIP40875  08 20 26.1   57 44 35 2000  5.89 F4V     31.6   0.06  0.01
HIP40910  08 20 55.3   14 04 16 2000  9.75 M0      23.4  -0.08 -0.26
HIP41130  08 23 30.9   21 50 57 2000  9.52 M0      27.0   0.30 -0.24
HIP41211  08 24 35.0  -03 45 04 2000  5.61 F3V     27.2  -0.21 -0.03
HIP41307  08 25 39.6  -03 54 23 2000  3.91 A0V     38.3  -0.07 -0.02
HIP41312  08 25 44.2  -66 08 12 2000  3.77 K2IIIva 33.1  -0.04 -0.15
HIP41484  08 27 36.8   45 39 10 2000  6.32 G5V     21.7  -0.02 -0.35
GJ1111    08 29 49.5   26 46 37 2000 14.9  M6.0V    3.62 -1.14 -0.60
HIP41689  08 29 56.3   61 43 32 2000 10.2  M0      19.1   0.53 -0.72
HIP41926  08 32 51.5  -31 30 03 2000  6.38 K0V     12.1  -1.11  0.76
HIP42074  08 34 31.6  -00 43 33 2000  7.32 G5      21.7  -0.19  0.02
HIP42080  08 34 36.1   65 08 42 2000  5.47 A2m     48.4  -0.05 -0.04
HIP42172  08 35 51.0   06 37 12 2000  5.91 F8V     26.5  -0.13 -0.13
HIP42173  08 35 51.3   06 37 22 2000  7.25 G5V     23.4  -0.12 -0.13
HIP42220  08 36 25.5   67 17 42 2000  9.28 M2      13.8  -1.07  0.07
HIP42333  08 37 50.3  -06 48 24 2000  6.74 G0      23.6  -0.30  0.04
HIP42418  08 39 00.2   06 57 19 2000  7.90 K0      25.4  -0.09 -0.29
HIP42438  08 39 11.7   65 01 15 2000  5.63 G1.5Vb  14.2  -0.03  0.09
HIP42499  08 39 50.8   11 31 21 2000  7.61 K1V     18.5  -0.11 -0.50
HIP42697  08 42 07.5  -42 55 45 2000  8.11 K2V     22.3  -0.27 -0.09
HIP42748  08 42 44.5   09 33 24 2000  9.62 M0      13.3   0.22 -0.63
HIP42762  08 42 52.2   09 33 11 2000 11.8  M5      15.4   0.22 -0.62
HIP42806  08 43 17.1   21 28 06 2000  4.66 A1IV    48.5  -0.11 -0.04
HIP42808  08 43 18.0  -38 52 56 2000  6.58 K2V     11.1  -0.30  0.34
HIP42913  08 44 42.2  -54 42 31 2000  1.93 A1V     24.4   0.03 -0.10
HIP42940  08 45 10.4   41 40 18 2000  8.52 K3V     25.9  -0.28 -0.65
HIP43233  08 48 26.2   06 28 06 2000 10.3  M0      25.8   0.21 -0.44
